C2,21,19,37,102,C2.png,317,489
C2,260,357,43,106,C2.png,317,489
C3,21,21,38,104,C3.png,315,490
C3,258,355,41,106,C3.png,315,490
C4,12,27,36,102,C4.png,315,491
C4,261,358,35,106,C4.png,315,491
C5,18,19,37,105,C5.png,315,490
C5,261,360,38,106,C5.png,315,490
C6,18,18,38,106,C6.png,320,491
C6,257,358,38,105,C6.png,320,491
C7,14,19,36,107,C7.png,318,492
C7,256,358,38,108,C7.png,318,492
C8,20,30,37,101,C8.png,318,493
C8,264,359,38,104,C8.png,318,493
C9,20,30,35,100,C9.png,317,491
C9,262,358,41,106,C9.png,317,491
C10,20,26,40,104,C10.png,315,492
C10,261,357,39,108,C10.png,315,492
CA,22,22,39,108,CA.png,315,494
CA,253,363,38,106,CA.png,315,494
CJ,14,31,34,99,CJ.png,314,488
CJ,266,370,34,96,CJ.png,314,488
CK,19,28,34,97,CK.png,318,491
CK,270,368,35,99,CK.png,318,491
CQ,14,29,35,96,CQ.png,314,489
CQ,266,367,35,99,CQ.png,314,489
D2,24,23,32,100,D2.png,321,492
D2,262,365,35,101,D2.png,321,492
D3,22,27,33,99,D3.png,319,493
D3,261,363,31,103,D3.png,319,493
D4,20,30,32,101,D4.png,319,495
D4,266,360,35,104,D4.png,319,495
D5,26,22,31,100,D5.png,319,493
D5,268,368,28,103,D5.png,319,493
D6,23,24,33,99,D6.png,315,490
D6,261,368,31,103,D6.png,315,490
D7,25,27,34,101,D7.png,317,492
D7,269,364,29,102,D7.png,317,492
D8,22,23,30,103,D8.png,319,495
D8,264,362,33,103,D8.png,319,495
D9,24,24,34,98,D9.png,315,492
D9,261,366,33,103,D9.png,315,492
D10,23,21,35,100,D10.png,316,491
D10,261,360,35,109,D10.png,316,491
DA,30,18,31,99,DA.png,316,490
DA,258,362,34,100,DA.png,316,490
DJ,19,26,33,98,DJ.png,317,492
DJ,269,360,31,101,DJ.png,317,492
DK,19,28,34,100,DK.png,319,494
DK,268,365,33,103,DK.png,319,494
DQ,15,33,36,99,DQ.png,317,493
DQ,268,367,34,101,DQ.png,317,493
H2,25,17,30,100,H2.png,319,493
H2,259,371,31,102,H2.png,319,493
H3,30,21,30,102,H3.png,318,493
H3,262,368,29,105,H3.png,318,493
H4,27,21,30,103,H4.png,317,491
H4,260,368,32,103,H4.png,317,491
H5,23,24,27,99,H5.png,318,492
H5,264,358,29,104,H5.png,318,492
H6,24,24,30,97,H6.png,316,491
H6,258,363,31,101,H6.png,316,491
H7,22,27,32,98,H7.png,315,489
H7,263,369,29,102,H7.png,315,489
H8,25,21,28,100,H8.png,316,493
H8,265,360,30,102,H8.png,316,493
H9,26,26,32,97,H9.png,314,489
H9,258,368,30,101,H9.png,314,489
H10,23,24,34,101,H10.png,315,488
H10,250,366,35,98,H10.png,315,488
HA,28,27,34,99,HA.png,317,492
HA,257,371,35,98,HA.png,317,492
HJ,16,29,31,97,HJ.png,310,487
HJ,270,360,29,98,HJ.png,310,487
HK,16,26,32,98,HK.png,316,490
HK,269,357,33,102,HK.png,316,490
HQ,14,26,35,97,HQ.png,316,494
HQ,269,360,35,100,HQ.png,316,494
SA,40,43,81,222,S1.png,769,1198
SA,653,922,88,227,S1.png,769,1198
S2,26,19,31,100,S2.png,318,492
S2,259,364,36,106,S2.png,318,492
S3,21,23,29,100,S3.png,312,487
S3,259,358,32,104,S3.png,312,487
S4,21,29,32,103,S4.png,316,490
S4,265,365,33,105,S4.png,316,490
S5,19,28,29,104,S5.png,314,489
S5,261,360,31,108,S5.png,314,489
S6,25,21,31,102,S6.png,314,487
S6,259,361,31,101,S6.png,314,487
S7,23,22,30,102,S7.png,313,488
S7,262,360,32,105,S7.png,313,488
S8,24,24,31,103,S8.png,314,490
S8,263,354,33,108,S8.png,314,490
S9,21,29,32,100,S9.png,314,489
S9,259,357,33,105,S9.png,314,489
S10,19,27,37,100,S10.png,313,487
S10,255,354,37,104,S10.png,313,487
SJ,13,30,36,101,SJ.png,314,489
SJ,267,360,34,103,SJ.png,314,489
SK,17,20,35,102,SK.png,316,490
SK,267,354,38,106,SK.png,316,490
SQ,10,32,37,102,SQ.png,317,490
SQ,266,362,39,104,SQ.png,317,490